관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월,위도,경도
서울특별시 서초구청,서울특별시 서초구 강남대로 429,서울특별시 서초구 서초4동 1305-8,생활방범,5,2017-03,37.5005830000,127.0256050000
서울특별시 서초구청,서울특별시 서초구 고무래로 94,서울특별시 서초구 서초4동 1684-3,생활방범,2,2017-05,37.4993330000,127.0171570000
서울특별시 서초구청,서울특별시 서초구 서운로21길 14,서울특별시 서초구 서초4동 1313-19,생활방범,5,2017-08,37.4979600000,127.0215510000
서울특별시 서초구청,서울특별시 서초구 강남대로603,서울특별시 서초구 잠원동 20-6,교통단속,1,2017-11,37.5154970000,127.0194210000
서울특별시 서초구청,서울특별시 서초구 강남대로631,서울특별시 서초구 잠원동 8-24,교통단속,1,2017-06,37.5183080000,127.0185790000
서울특별시 서초구청,서울특별시 서초구 강남대로109길,서울특별시 서초구 잠원동 7-2,교통단속,1,2017-06,37.5180010000,127.0170680000
서울특별시 서초구청,서울특별시 서초구 잠원로 195,서울특별시 서초구 잠원동 49-17,교통단속,1,2017-06,37.5207080000,127.0136100000
서울특별시 서초구청,서울특별시 서초구 신반포로33길 64,서울특별시 서초구 잠원동 63-34,교통단속,1,2017-06,37.5133940000,127.0085300000
서울특별시 서초구청,서울특별시 서초구 강남대로 95길 38,서울특별시 서초구 잠원동 25-24,교통단속,1,2017-06,37.5135340000,127.0182340000
서울특별시 서초구청,서울특별시 서초구 잠원로8길 25,서울특별시 서초구 잠원동57,교통단속,1,2017-06,37.5140540000,127.0115210000
서울특별시 서초구청,서울특별시 서초구 신반포로45,서울특별시 서초구 반포본동 758,교통단속,1,2017-10,37.5034530000,126.9860770000
서울특별시 서초구청,서울특별시 서초구 고무래로35,서울특별시 서초구 반포1동 32-13,교통단속,1,2017-11,37.5026390000,127.0123490000
서울특별시 서초구청,서울특별시 서초구 사평대로343,서울특별시 서초구 반포1동 745-65,교통단속,2,2017-11,37.5036000000,127.0209570000
서울특별시 서초구청,서울특별시 서초구 고무래로63,서울특별시 서초구 반포1동 30-8,교통단속,1,2017-06,37.5019050000,127.0155900000
서울특별시 서초구청,서울특별시 서초구 신반포로270,서울특별시 서초구 반포1동 20,교통단속,1,2017-12,37.5057490000,127.0101250000
서울특별시 서초구청,서울특별시 서초구 강남대로79길2,서울특별시 서초구 반포1동 737-19,교통단속,1,2017-06,37.5056120000,127.0236310000
