사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자차종,가해운전자성별,가해운전자연령,가해운전자상해정도,피해운전자차종,피해운전자성별,피해운전자연령,피해운전자상해정도,위도,경도
2.017013E15,2017013018,월요일,서울특별시 서초구 서초동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,50세,상해없음,보행자,여,85세,사망,37.48317136,127.02107323
2.0170201E15,2017020118,수요일,서울특별시 도봉구 도봉동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음,맑음,단일로 - 기타,화물,남,39세,상해없음,보행자,남,66세,사망,37.6774881,127.04497965
2.0170202E15,2017020215,목요일,서울특별시 양천구 신정동,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,77세,사망,,,,,37.52144716,126.87363384
2.0170203E15,2017020300,금요일,서울특별시 동대문구 휘경동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,53세,상해없음,보행자,여,61세,사망,37.5311915,126.87208101
2.0170203E15,2017020300,금요일,서울특별시 양천구 목동,사망사고,1,0,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,포장 - 젖음,맑음,단일로 - 기타,이륜,남,34세,사망,,,,,37.59031055,127.06898058
2.0170203E15,2017020323,금요일,서울특별시 서초구 반포동,사망사고,1,0,0,0,차량단독 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,30세,사망,,,,,37.50970516,126.99881718
2.0170205E15,2017020501,일요일,서울특별시 노원구 상계동,사망사고,1,1,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,30세,사망,,,,,37.67442554,127.05019199
2.0170205E15,2017020506,일요일,서울특별시 동대문구 전농동,사망사고,1,0,0,0,차대차 - 정면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,화물,남,64세,사망,승합,남,52세,상해없음,37.57756929,127.05781951
2.0170205E15,2017020520,일요일,서울특별시 종로구 혜화동,사망사고,1,0,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,포장 - 젖음,맑음,교차로 - 교차로안,이륜,남,52세,사망,,,,,37.58573513,127.00119608
2.017022E15,2017022019,월요일,서울특별시 강북구 번동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,74세,상해없음,보행자,여,58세,사망,37.64025292,127.0331808
2.0170301E15,2017030101,수요일,서울특별시 강남구 역삼동,사망사고,1,2,0,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,38세,상해없음,보행자,남,54세,사망,37.50007897,127.03412275
2.0170301E15,2017030102,수요일,서울특별시 서대문구 남가좌동,사망사고,1,0,0,0,차대차 - 측면충돌,안전거리미확보,포장 - 건조,맑음,단일로 - 기타,승용,남,28세,상해없음,이륜,남,23세,사망,37.56957943,126.91773366
2.0170301E15,2017030105,수요일,서울특별시 강동구 성내동,사망사고,1,0,0,0,차대사람 - 보도통행중,과속,포장 - 건조,맑음,교차로 - 교차로횡단,승용,남,61세,상해없음,보행자,남,36세,사망,37.53707988,127.12908438
